student_id,source,academic_score,age,attendance_percentage,gender,sleep_hours,social_media_hours,study_hours_per_day
1,productivity,81.87,23,57.21,Female,3.63,2.73,4.35
2,productivity,60.9,20,91.27,Male,6.58,1.51,6.14
3,productivity,86.22,29,63.14,Female,3.26,3.63,4.98
4,productivity,71.77,27,40.51,Female,4.58,3.95,3.19
5,productivity,90.13,24,45.53,Male,6.21,1.59,7.67
6,productivity,59.48,29,47.58,Other,3.52,3.74,7.18
7,productivity,62.71,21,43.5,Female,6.36,5.99,9.06
8,productivity,52.22,23,75.22,Female,4.86,1.37,6.37
9,productivity,76.15,26,44.79,Male,4.87,2.87,4.19
10,productivity,88.53,19,79.15,Female,9.56,0.81,7.28
11,productivity,76.52,23,54.99,Male,7.83,1.72,6.38
12,productivity,97.36,27,86.6,Male,9.51,3.46,6.36
13,productivity,53.59,27,77.02,Male,7.03,7.8,8.57
14,productivity,97.9,24,93.99,Male,9.35,5.59,9.15
15,productivity,49.08,21,67.85,Male,8.86,7.45,2.21
16,productivity,58.24,20,63.49,Other,9.98,0.84,3.48
17,productivity,73.23,24,59.7,Female,6.52,7.54,6.68
18,productivity,56.26,24,50.91,Male,7.87,4.09,5.79
19,productivity,79.47,19,60.01,Male,4.12,2.26,6.7
20,productivity,62.96,22,40.5,Female,9.58,6.76,4.61
21,productivity,60.95,21,94.71,Male,5.79,4.81,4.42
22,productivity,84.31,18,98.42,Female,9.42,0.73,1.62
23,productivity,82.13,24,94.13,Female,3.7,4.28,6.42
24,productivity,81.6,28,44.19,Female,6.61,5.14,2.17
25,productivity,84.8,22,48.52,Male,3.01,0.14,6.87
26,productivity,96.26,18,89.64,Male,5.91,4.4,9.69
27,productivity,96.1,28,69.88,Male,3.58,2.91,2.94
28,productivity,77.43,21,43.56,Male,6.14,3.65,1.85
29,productivity,53.44,17,59.49,Male,6.89,0.87,0.73
30,productivity,58.8,28,61.87,Female,8.97,4.02,4.1
31,productivity,86.98,26,78.51,Female,5.07,7.88,2.54
32,productivity,95.8,22,43.84,Other,6.97,5.9,5.17
33,productivity,74.72,29,94.18,Female,3.47,7.42,5.48
34,productivity,71.59,28,45.32,Male,9.39,2.22,3.82
35,productivity,74.61,25,62.81,Female,6.16,3.06,7.62
36,productivity,60.53,17,42.29,Male,4.77,5.19,9.1
37,productivity,59.07,27,75.74,Male,6.24,5.92,2.51
38,productivity,59.65,27,93.89,Female,6.37,2.43,8.44
39,productivity,46.07,26,92.55,Female,8.2,2.78,1.75
40,productivity,59.29,28,67.38,Female,9.82,1.05,2.67
41,productivity,71.49,28,52.89,Male,4.3,5.43,5.83
42,productivity,65.79,19,52.3,Male,3.38,2.79,3.41
43,productivity,74.2,28,48.27,Male,7.59,1.11,0.9
44,productivity,61.97,23,73.23,Male,9.19,5.07,3.3
45,productivity,92.62,20,52.2,Male,6.96,0.1,9.1
46,productivity,64.92,25,67.99,Female,3.56,7.6,2.16
47,productivity,63.07,19,98.35,Female,5.95,5.13,7.76
48,productivity,55.63,21,48.01,Male,7.58,4.86,7.36
49,productivity,46.26,19,60.08,Female,5.3,5.18,1.51
50,productivity,61.17,23,86.49,Male,8.91,2.53,3.63
51,productivity,91.56,21,63.72,Other,4.57,1.87,2.3
52,productivity,55.21,25,73.9,Male,5.55,4.29,0.72
53,productivity,43.31,23,42.01,Female,9.42,7.55,2.14
54,productivity,66.19,18,46.14,Female,7.01,2.25,2.41
55,productivity,70.64,20,72.68,Female,3.04,5.73,2.08
56,productivity,40.48,25,43.86,Male,4.71,7.79,1.37
57,productivity,51.04,28,92.0,Female,8.27,4.4,5.5
58,productivity,93.85,18,90.69,Male,3.36,3.67,3.57
59,productivity,59.09,26,40.12,Male,9.95,5.98,9.13
60,productivity,53.82,25,43.88,Male,9.29,1.13,2.28
61,productivity,59.62,26,87.03,Female,4.57,0.26,6.23
62,productivity,55.64,21,81.91,Female,9.27,2.81,9.06
63,productivity,58.43,18,45.17,Male,7.9,6.7,0.95
64,productivity,73.41,20,52.43,Female,5.98,0.62,5.4
